age,education_num,hours_per_week,capital_gain,capital_loss,sex_male,is_married,income_above_50k
38,9,40,0,0,1,0,0
50,14,65,0,0,0,0,0
25,10,35,0,0,0,0,0
33,10,55,7298,0,1,1,1
73,3,54,0,0,1,1,1
66,7,40,10605,0,1,1,1
25,9,40,0,0,1,0,0
21,10,40,0,0,1,0,0
27,10,44,0,0,0,0,0
45,13,40,3103,0,1,1,1
37,10,40,0,0,1,0,0
33,10,40,0,0,0,0,0
72,3,20,0,0,1,1,0
53,10,45,0,2444,1,0,1
53,9,40,15024,0,0,1,1
57,2,35,0,0,1,1,0
39,9,40,0,0,0,1,1
43,9,20,0,0,1,0,0
45,9,40,0,0,1,1,0
47,13,43,0,0,1,1,1
44,9,40,0,0,1,1,0
65,13,40,0,0,1,0,0
45,10,50,0,0,1,1,1
49,10,45,0,0,1,1,1
22,13,15,0,0,0,0,0
51,14,50,0,0,1,1,1
30,14,60,0,0,0,1,1
44,9,60,0,0,1,1,0
35,9,40,0,0,0,0,0
22,9,35,0,0,0,0,0
28,12,40,0,0,0,0,0
35,13,50,0,1887,1,1,1
57,10,50,0,0,1,1,1
35,13,40,0,0,1,1,1
39,11,40,0,0,0,0,0
52,9,40,0,1579,1,1,0
42,13,40,0,0,1,0,1
63,14,68,0,0,1,1,1
29,10,41,0,0,0,0,1
19,9,40,0,0,0,0,0
55,11,40,0,0,0,0,0
47,10,65,0,0,1,1,1
26,10,35,0,0,0,1,0
65,10,45,0,0,0,1,0
43,10,45,0,0,1,1,0
50,13,40,0,0,1,1,1
41,12,60,15024,0,1,1,1
20,10,40,0,0,1,0,0
24,9,40,0,0,0,0,0
25,9,70,0,0,0,0,0
55,9,40,0,0,1,1,1
74,9,28,0,0,0,0,0
61,9,40,0,0,1,1,1
52,4,40,0,0,1,1,0
29,16,60,0,0,1,1,0
36,4,40,0,0,1,1,0
52,5,25,0,0,0,0,0
26,10,40,0,0,1,1,1
31,13,40,0,0,0,0,0
27,12,40,0,0,1,1,1
43,10,40,0,0,1,1,1
36,9,40,0,0,1,1,1
44,13,45,15024,0,1,1,1
31,9,40,0,0,0,0,0
38,13,40,7688,0,1,1,1
61,13,30,0,0,0,0,0
61,9,35,0,0,1,1,1
54,13,40,3103,0,0,1,1
37,10,42,0,0,1,1,1
29,3,35,0,0,1,0,0
73,4,35,0,0,1,1,1
40,13,40,0,0,0,1,1
23,9,40,0,0,0,0,0
46,10,48,0,0,1,1,1
46,14,40,0,1887,1,1,1
30,5,40,0,0,1,1,0
46,10,40,0,0,1,1,0
37,13,50,0,0,1,1,0
41,15,60,0,0,0,0,1
69,6,16,0,0,0,0,0
39,14,40,15024,0,1,1,1
42,14,35,4687,0,0,0,1
49,7,60,0,0,1,0,0
31,13,55,0,0,1,1,1
41,9,40,0,0,1,0,0
62,9,40,0,0,1,1,0
44,13,60,0,0,1,1,1
47,11,40,0,0,1,1,1
48,10,30,0,0,1,1,1
64,11,50,0,0,1,1,0
36,14,40,0,0,1,0,0
27,13,60,0,0,1,1,1
56,13,40,0,0,1,1,1
55,9,40,0,0,0,0,0
34,9,60,0,0,1,1,0
69,9,33,0,0,1,1,0
53,9,38,0,0,0,0,0
34,9,37,0,0,0,0,1
38,14,35,0,0,1,1,1
55,16,30,15024,0,1,1,1
46,14,65,0,0,0,1,1
60,14,38,0,0,1,1,1
43,3,40,0,0,0,1,1
58,3,48,0,0,1,1,0
41,9,40,0,0,1,1,1
64,10,40,0,1741,0,0,0
57,13,50,0,0,1,0,1
38,10,40,0,0,0,0,0
18,7,20,0,0,0,0,0
71,9,52,0,2392,1,1,1
18,7,20,0,0,0,0,0
25,12,40,0,0,1,0,0
41,10,40,0,0,0,1,0
57,13,50,0,0,1,1,1
32,7,40,0,0,0,0,0
42,9,52,0,0,1,1,0
22,10,60,0,0,0,0,0
30,12,40,0,0,0,0,0
44,14,45,0,0,1,1,1
23,9,15,8614,0,0,0,1
28,13,55,0,0,0,0,0
30,9,43,0,2002,1,1,0
44,10,60,0,0,1,1,1
33,11,40,0,0,1,1,1
36,10,40,0,0,0,0,0
58,15,50,0,1977,1,1,1
36,13,35,0,0,1,0,0
41,12,36,0,0,0,0,0
56,9,40,4064,0,1,1,0
51,9,40,0,1902,1,1,1
35,13,60,0,0,1,1,1
73,4,99,6418,0,1,1,1
56,10,45,0,0,1,1,1
37,9,40,0,0,1,1,0
29,7,40,0,0,1,0,0
33,10,40,0,0,1,1,1
40,13,40,0,1902,1,1,1
34,13,48,0,0,1,1,1
58,11,40,15024,0,1,1,1
35,13,45,0,0,1,1,1
26,13,40,0,0,1,1,1
47,14,35,0,0,1,0,1
31,9,40,0,0,1,1,0
23,9,80,0,0,1,1,0
30,13,55,3103,0,0,1,1
20,10,20,0,0,0,0,0
26,10,55,0,0,1,1,0
46,11,40,0,0,1,1,1
49,9,50,0,0,1,1,1
26,9,40,0,0,1,0,0
41,9,40,0,1848,1,1,1
46,15,50,0,0,1,0,1
33,9,40,0,0,0,1,0
37,14,45,0,0,1,0,1
44,15,40,0,0,1,1,1
65,10,40,0,0,1,1,1
22,9,20,0,0,0,0,0
66,13,40,0,0,1,1,1
46,14,40,0,0,1,1,1
40,15,40,0,0,0,0,0
35,9,55,0,0,1,1,1
37,9,40,0,0,1,1,0
46,10,35,0,0,0,0,0
30,9,40,0,0,1,0,0
45,9,40,0,0,1,1,0
57,9,40,0,0,0,0,0
51,9,40,0,0,0,0,0
55,10,6,0,0,1,1,1
17,7,20,0,0,0,0,0
21,5,35,0,0,1,0,0
27,13,50,0,0,0,0,1
48,14,40,0,0,1,0,0
19,10,20,0,0,0,1,0
17,5,45,0,0,1,0,0
31,9,43,0,0,1,1,1
38,13,50,0,0,1,1,1
63,9,40,2105,0,1,1,0
28,12,40,0,0,0,1,1
51,14,80,0,0,1,1,1
44,10,99,0,0,1,1,0
34,13,35,15024,0,1,1,1
26,14,38,0,0,1,0,0
35,10,75,0,0,1,1,1
42,10,40,0,0,1,1,1
65,7,35,0,0,1,1,0
31,13,40,0,0,1,1,1
81,4,2,0,0,0,0,0
44,14,40,0,0,1,1,1
18,7,5,0,0,1,0,0
25,9,40,0,1902,1,1,1
18,7,21,0,0,1,0,0
19,9,40,0,0,0,0,0
35,9,40,0,0,1,0,0
28,13,40,0,0,1,1,1
30,9,70,0,0,1,0,0
40,13,30,0,0,1,1,0
51,14,40,0,0,0,1,1
49,9,40,0,0,1,1,1
45,13,35,0,0,1,1,1
50,14,50,0,0,1,1,1
24,10,40,0,0,1,0,0
46,14,65,15024,0,1,1,1
61,13,50,0,0,1,1,1
32,13,65,0,0,1,1,1
36,12,50,0,0,1,1,1
39,10,52,0,0,1,1,1
58,5,50,0,0,1,1,1
52,12,40,0,0,1,1,1
41,15,50,0,1977,1,1,1
38,16,60,0,0,1,1,1
39,9,40,0,0,1,1,0
22,10,35,0,0,0,0,0
42,9,43,0,0,1,0,1
37,9,60,0,0,1,1,1
37,14,60,0,2415,1,1,1
53,13,50,0,0,1,1,1
67,13,40,0,0,1,0,0
24,9,30,0,0,0,0,0
32,12,50,0,0,1,1,0
59,10,40,0,0,1,1,1
44,16,40,0,1902,1,1,1
31,9,40,0,0,1,1,0
45,9,40,0,1590,0,0,0
37,12,50,0,0,1,1,1
45,12,40,0,0,0,0,1
48,14,55,0,0,1,1,1
35,9,35,7298,0,1,1,1
32,9,48,0,0,1,1,0
41,15,50,0,0,1,1,1
25,10,40,0,0,1,1,0
43,16,24,0,0,0,0,1
47,15,50,99999,0,1,1,1
62,10,40,0,0,1,1,1
41,14,40,0,0,0,0,0
57,10,90,0,0,0,1,1
28,7,35,0,0,0,1,0
70,14,50,7896,0,0,0,1
43,10,6,0,0,0,1,0
58,10,40,0,1887,1,1,1
56,9,50,0,0,1,1,1
39,9,65,0,0,1,1,0
22,9,40,0,0,1,0,0
28,9,40,0,0,0,0,0
34,9,60,0,0,1,0,0
53,13,48,0,0,1,1,1
49,10,40,0,0,1,1,0
32,9,30,0,0,0,0,0
30,13,40,0,0,1,1,1
57,13,40,0,0,1,1,1
68,10,20,10605,0,1,1,1
34,10,60,0,0,1,0,0
37,9,35,0,0,0,1,0
19,9,30,0,0,0,0,0
50,16,40,0,0,1,0,1
44,10,40,0,1485,1,1,1
53,9,20,0,0,0,0,0
33,14,45,0,0,1,1,0
31,9,40,0,0,0,0,0
30,12,50,0,0,0,1,1
23,9,40,0,0,1,0,0
27,13,45,7298,0,0,1,1
63,4,60,7688,0,1,1,1
29,13,55,0,0,1,1,1
54,13,60,0,0,1,1,1
56,9,37,0,0,0,1,1
41,10,50,0,0,1,1,1
42,9,50,0,0,1,0,0
44,13,30,0,0,1,1,0
38,15,50,0,0,1,0,0
47,14,60,0,0,0,1,1
51,12,30,3103,0,1,1,1
40,10,50,4386,0,1,1,1
58,8,40,0,0,1,1,0
22,10,30,0,1741,0,0,0
46,13,35,0,0,1,1,1
30,10,45,0,0,1,0,1
20,9,23,0,0,1,0,0
27,8,40,0,0,1,1,1
38,11,35,0,0,1,0,0
25,9,40,0,0,1,1,0
54,10,30,2829,0,1,1,0
25,13,45,0,0,1,0,0
47,10,47,0,0,1,1,1
41,13,15,0,0,0,1,1
52,9,40,0,0,1,0,0
71,7,75,0,0,0,0,0
28,11,40,0,0,1,0,0
47,14,40,0,0,1,1,1
32,13,45,7298,0,1,1,1
53,13,40,0,0,1,1,1
21,7,30,0,0,0,0,0
41,12,40,0,1887,1,1,1
25,5,40,0,0,1,0,0
20,10,25,0,0,0,0,0
28,10,35,0,0,1,0,0
56,9,55,0,0,1,1,1
17,7,7,0,0,0,0,0
49,13,45,0,0,1,1,1
38,9,42,0,0,1,0,0
45,14,50,0,0,1,1,1
40,12,40,0,0,0,0,1
59,9,40,0,0,1,1,1
25,15,8,0,0,0,0,0
53,10,40,0,0,0,0,0
39,9,50,0,0,1,1,1
61,9,40,0,0,1,1,0
29,13,40,8614,0,0,0,1
22,9,38,0,0,0,0,0
20,10,14,0,0,0,0,0
35,3,40,0,0,1,1,0
28,14,42,0,0,1,0,0
51,11,40,0,0,1,1,1
45,10,35,0,0,0,0,0
50,9,40,0,0,1,1,1
57,10,25,0,0,1,0,0
41,9,43,0,0,1,1,0
19,10,20,0,0,0,0,0
49,9,50,0,0,1,1,0
39,10,40,0,0,1,1,0
21,6,38,0,0,0,0,0
32,9,65,0,0,1,1,1
39,9,40,0,0,1,1,1
29,10,45,4386,0,1,1,1
33,9,50,3325,0,1,0,0
49,7,40,0,0,1,1,0
58,9,40,0,0,1,1,1
39,15,60,15024,0,1,1,1
67,4,24,0,0,1,1,0
63,13,40,0,0,1,1,1
46,9,40,0,0,1,1,0
72,9,40,0,0,1,1,0
31,10,40,0,0,1,0,0
54,13,80,0,0,0,0,1
23,13,32,0,0,0,0,0
44,10,40,0,0,1,0,0
31,10,65,0,0,1,0,1
53,9,40,0,0,1,1,1
47,14,50,0,1977,1,1,1
30,13,60,27828,0,1,0,1
47,16,50,0,0,1,1,1
31,13,40,0,0,1,1,0
38,11,40,0,0,1,0,0
50,9,40,0,0,1,1,0
19,9,42,0,0,1,0,0
67,9,24,0,0,0,0,0
37,13,48,0,0,1,0,1
39,10,40,0,0,1,0,0
37,9,40,0,0,0,0,0
52,9,40,0,0,1,1,1
34,10,55,0,0,1,1,1
18,7,40,0,0,1,0,0
41,9,50,0,0,1,1,0
38,9,45,0,0,1,1,0
20,10,45,0,0,0,0,0
27,14,46,0,0,0,0,0
28,9,40,99999,0,1,1,1
47,9,40,0,0,1,1,1
23,9,42,0,0,0,0,0
65,9,25,0,0,1,1,0
59,9,40,7688,0,1,1,1
34,13,50,99999,0,1,0,1
30,9,40,0,0,0,0,0
24,9,40,0,0,0,0,0
39,13,40,0,0,1,1,0
90,4,40,2653,0,1,1,0
52,9,40,0,0,1,1,1
37,14,50,0,0,1,0,0
35,13,20,7688,0,1,1,1
35,9,45,0,0,1,1,0
69,13,7,0,0,1,1,1
27,4,35,0,0,1,0,0
48,13,45,0,0,1,1,1
57,9,40,0,0,1,1,1
23,10,80,2202,0,1,0,0
24,9,50,0,0,1,0,0
34,13,50,7688,0,0,1,1
34,3,40,0,0,1,1,0
21,10,40,0,0,1,1,0
44,13,40,0,0,1,1,1
25,13,38,0,0,0,1,1
19,9,40,0,0,0,0,0
34,10,42,0,0,0,0,0
28,11,50,0,0,1,0,0
65,13,44,0,0,1,1,1
42,10,72,0,0,1,1,1
33,12,32,0,0,1,0,0
38,13,99,0,0,1,1,0
26,9,36,0,0,1,1,0
64,13,5,0,0,1,1,0
73,9,24,0,0,1,0,0
58,10,40,0,0,0,0,0
57,9,45,0,0,1,1,0
32,9,50,0,0,1,1,1
24,13,25,0,0,0,0,0
53,10,40,0,0,0,0,0
38,13,55,0,0,1,1,1
49,15,37,99999,0,1,1,1
49,10,40,7298,0,1,1,1
41,13,40,7688,0,1,1,1
59,9,60,0,0,1,1,0
34,16,32,0,0,1,1,1
59,13,40,0,0,1,1,0
23,13,40,0,0,1,0,0
51,14,60,0,1902,1,1,1
59,10,34,0,0,1,1,0
49,13,55,0,0,1,1,1
36,13,55,0,0,1,0,1
43,13,45,0,0,0,1,1
35,9,75,0,0,0,0,0
51,13,40,0,0,1,1,1
37,10,42,0,0,1,1,1
37,14,60,0,0,1,1,1
42,9,60,0,0,1,1,1
41,9,62,0,0,1,1,0
39,8,70,15024,0,1,1,1
44,13,35,0,0,1,1,1
23,9,40,2105,0,0,1,0
40,9,45,0,0,1,0,0
36,13,40,0,0,1,0,0
44,13,55,15024,0,1,1,1
51,9,40,0,0,0,0,0
29,11,40,0,1974,1,0,0
39,10,80,0,0,1,1,0
40,12,2,0,0,0,0,0
48,6,70,0,0,1,1,0
45,9,25,0,0,0,0,0
22,9,40,0,0,1,0,0
29,13,40,0,0,1,1,1
49,14,65,0,0,1,1,1
58,9,60,0,0,1,1,1
38,9,30,0,0,0,0,0
39,9,40,0,0,1,0,0
43,9,40,0,0,0,0,0
43,13,40,0,0,1,1,1
29,9,40,0,0,0,0,0
46,9,40,0,0,0,1,1
50,15,75,0,0,1,1,1
22,10,24,0,0,1,0,0
46,12,38,0,0,0,0,0
42,10,25,0,0,1,1,1
20,10,40,0,0,1,0,0
59,14,55,7298,0,1,1,1
22,10,25,0,0,0,0,0
43,13,40,0,1902,1,1,1
50,9,45,0,0,1,1,1
47,16,50,15024,0,1,1,1
67,15,25,20051,0,1,1,1
27,9,40,0,0,0,1,1
49,13,40,0,625,0,0,0
37,9,50,0,0,1,1,1
35,11,50,7298,0,1,1,1
44,11,40,4386,0,0,1,1
48,14,40,0,0,1,1,1
55,9,29,0,0,0,0,0
28,13,45,0,0,1,1,1
36,13,35,0,0,0,1,1
22,6,40,0,0,0,0,0
50,16,60,0,0,1,1,1
65,9,15,0,0,0,0,0
49,16,70,99999,0,1,0,1
19,9,30,0,0,0,0,0
51,15,40,3325,0,1,0,0
35,9,40,0,0,0,1,1
36,13,45,0,0,1,1,1
58,13,47,0,0,1,1,1
52,10,40,0,0,1,1,1
40,14,55,14084,0,0,0,1
30,13,24,0,0,0,1,1
38,12,40,0,0,1,1,1
42,12,45,0,0,1,1,1
40,11,44,7688,0,1,1,1
33,10,34,0,0,1,0,0
51,13,40,0,0,1,1,1
29,13,40,0,0,1,0,0
23,9,50,0,0,0,0,0
51,16,52,4386,0,1,1,1
46,10,40,0,0,0,1,1
37,13,40,8614,0,0,0,1
48,9,40,0,0,0,0,0
26,11,40,14344,0,1,0,1
40,9,40,0,0,1,1,1
42,13,50,7298,0,1,1,1
43,14,60,0,0,1,1,1
50,15,40,0,0,1,1,1
38,12,40,0,0,0,1,1
23,10,40,0,0,1,0,0
40,10,35,0,0,0,1,0
46,11,40,0,0,1,0,0
23,4,30,0,0,0,1,0
48,14,50,0,0,0,0,0
33,13,50,0,0,1,1,1
44,9,58,0,0,1,0,0
45,10,65,0,0,1,1,1
45,10,38,0,0,1,0,0
27,10,46,0,0,1,1,0
53,10,40,7298,0,1,1,1
36,6,35,0,0,0,0,0
31,10,40,0,0,1,1,0
54,13,50,0,0,1,1,1
42,14,45,0,0,1,1,1
17,5,20,0,0,1,0,0
23,10,38,0,0,0,0,0
34,9,40,0,0,0,0,0
22,9,18,0,0,1,0,0
63,9,40,0,0,0,0,0
29,9,48,0,0,1,1,1
49,13,45,0,0,1,0,0
63,13,40,0,0,1,1,1
38,13,70,3908,0,1,1,0
50,10,55,4064,0,1,1,0
39,9,30,0,0,1,1,0
39,12,35,0,0,1,1,1
42,9,50,0,0,1,1,1
41,13,20,0,1740,0,1,0
25,9,45,0,0,1,1,0
30,9,50,0,0,1,1,1
60,9,60,3103,0,1,1,1
42,9,40,0,0,1,0,1
67,16,40,20051,0,1,1,1
40,10,40,0,0,1,1,1
37,13,50,0,0,1,1,1
74,10,40,15831,0,1,0,1
45,13,55,0,0,0,0,0
41,16,70,99999,0,1,1,1
64,16,25,0,0,1,1,1
64,14,60,0,2057,1,1,0
50,9,48,0,0,1,1,1
32,4,19,0,0,1,1,0
25,9,40,0,0,0,0,0
43,11,40,0,0,0,1,1
34,9,45,0,0,1,1,0
53,15,40,0,1887,1,1,1
53,10,40,4386,0,1,1,1
29,13,45,5178,0,1,1,1
48,10,45,0,0,1,0,0
51,13,40,0,0,1,1,0
44,11,40,0,0,1,1,1
36,11,50,0,0,1,1,1
20,9,40,0,0,0,0,0
54,9,40,0,0,1,1,1
39,10,45,4386,0,1,1,1
35,5,50,0,0,1,1,0
39,13,40,0,0,1,1,1
46,14,45,0,1564,0,0,1
22,10,40,3325,0,1,0,0
33,10,50,0,0,1,1,1
48,7,30,0,0,0,1,1
42,11,40,0,0,0,0,0
32,13,48,13550,0,1,0,1
44,14,42,0,1876,1,0,0
34,9,45,0,0,1,1,1
31,9,48,0,0,1,1,0
22,10,25,0,0,0,0,0
31,10,45,0,0,1,1,0
19,10,15,0,0,0,0,0
46,13,40,0,0,1,1,0
45,10,40,0,0,1,0,0
30,5,40,0,0,1,0,0
47,10,45,13550,0,1,0,1
24,13,45,0,0,0,0,0
74,12,30,0,0,1,1,1
25,11,40,7688,0,0,1,1
72,14,60,0,0,1,0,1
31,9,40,0,0,1,0,0
34,13,55,0,0,1,1,0
58,13,40,8614,0,1,0,1
43,15,35,15020,0,0,0,1
41,10,40,0,0,0,0,0
36,10,60,0,0,1,1,1
31,16,50,0,0,1,1,1
43,15,60,0,0,1,1,1
33,15,42,0,0,1,0,1
29,9,40,10520,0,1,0,1
44,13,48,7298,0,1,1,1
32,10,50,0,0,1,1,0
57,14,40,0,0,1,1,1
20,10,20,0,0,0,0,0
34,13,45,0,1977,1,1,1
41,10,40,0,0,1,1,1
23,10,45,0,0,1,0,0
35,14,40,0,0,1,1,1
53,13,65,0,1887,1,1,1
33,13,40,5178,0,1,1,1
54,10,40,0,0,0,1,1
26,10,40,0,0,1,1,0
28,13,45,0,0,0,0,0
37,14,60,0,0,1,0,1
50,10,44,0,0,1,1,0
65,13,60,0,0,1,1,1
38,13,50,0,0,1,1,1
47,13,40,0,0,1,0,1
53,9,40,0,0,1,1,1
18,9,20,0,0,0,0,0
44,9,70,0,0,1,0,0
43,13,40,0,2415,1,1,1
58,13,50,99999,0,1,1,1
